administrator_director_name,adverse_action,conditions_on_permit,corrective_action,county,days_of_operation,email_address,facility_id,hours_of_operation,issuance_date,licensed_to_serve_ages,location_address,mailing_address,n_assessments,n_defic_high,n_defic_low,n_defic_medium,n_defic_medium_high,n_defic_medium_low,n_inspections,n_reports,n_self_reported_incidents,n_standards,open_branch_offices,open_foster_homes,operation_caregiver_name,operation_number,operation_type,other_schedule_information,phone_number,programmatic_services,temporarily_closed,treatment_services,type_of_issuance,website_address
Eric D. Edwards,No,-,No,HIDALGO,,,367128,,-,-,"4416 N MCCOLL RD MCALLEN, TX 78504","4416 N MCCOLL RD MCALLEN, TX 78504",0,13,1,6,16,6,56,23,10,3616,-,34,Benchmark Family Services,860008-3570-2,Child Placing Agency  (Branch),,956-683-9035,,No,,,
Gladys Foster-Blackwell,No,No,No,BEXAR,Monday - Friday,janie.cook@boystown.org,308341,08:00 AM-05:00 PM,12/10/2007,-,"503 URBAN LOOP SAN ANTONIO, TX 78204","503 URBAN LOOP SAN ANTONIO, TX 78204",0,11,0,2,6,1,29,16,6,4977,0,29,"Boys Town Texas, Inc.",867676-4190,Child Placing Agency-Adoption Services,,210-271-1010,"Child Care,Assessment,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Full Permit,
Paula Tucker,No,No,No,BEXAR,Monday - Friday,,229916,09:00 AM-05:00 PM,1/3/2005,-,"8555 E LOOP 1604 N CONVERSE, TX 78109","8555 E LOOP 1604 N CONVERSE, TX 78109",0,0,0,0,0,0,7,2,1,2040,0,11,Boysville Inc,829787-1508,Child Placing Agency,,210-659-1901,"Child Care,Transitional Living",No,,Full Permit,www.boysvilletexas.org
Guadalupe Pressler,No,No,No,HARRIS,Monday - Friday,ddewalt@brighter-visions.org,309265,08:00 AM-05:00 PM,3/19/2008,-,"11500 NORTHWEST FWY STE 540 HOUSTON, TX 77092","11500 NORTHWEST FWY STE 540 HOUSTON, TX 77092",0,0,0,0,0,0,2,0,0,516,0,1,"Brighter Visions Children and Family Ministries, Inc.",868249-4250,Child Placing Agency-Adoption Services,The operation is suspending it's license from 1-14-2013 until 1-14-2015.,832-453-2994,Child Care,No,"Emotional Disorders,Mental Retardation,Primary Medical Needs",Full Permit,www.brighter-visions.org
Kathy McGee,No,-,No,POTTER,,kmcgee@buckner.org,359688,,-,-,"1422 South Tyler Suite 100 -First Baptist Plaza Amarillo, TX 79102","1422 S TYLER ST STE 100 AMARILLO, TX 79101",1,2,0,1,0,0,4,0,0,2589,-,19,Buckner Baptist Childrens Home,232671-322-2,Child Placing Agency  (Branch),,806-373-1474,,No,,,www.buckner.org
Kathy McGee,No,No,No,LUBBOCK,Monday - Friday,kmcgee@buckner.org,191502,08:00 AM-05:00 PM,4/15/1988,-,"129 BRENTWOOD AVE LUBBOCK, TX 79416","129 BRENTWOOD AVE LUBBOCK, TX 79416",0,3,1,0,0,1,32,16,2,1948,2,38,Buckner Baptist Childrens Home,232671-322,Child Placing Agency-Adoption Services,"Closed on New Years' Day, Martin Luther King Jr. Day, Good Friday, Memorial Day, Independence Day, Labor Day, Thanksgiving Day and day after, and Christmas Day.",806-795-7151,"Child Care,Transitional Living",No,"Emotional Disorders,Primary Medical Needs",Full Permit,www.buckner.org
Andrea Chantel' Lawrence,No,No,No,DALLAS,Monday - Friday,dgraves@buckner.org,105204,08:30 AM-05:00 PM,5/5/1998,-,"5200 S BUCKNER BLVD DALLAS, TX 75227","5200 S BUCKNER BLVD DALLAS, TX 75227",1,11,1,3,4,2,39,23,4,6644,0,69,Buckner Baptist Childrens Home,237929-21,Child Placing Agency-Adoption Services,,214-328-3141,Child Care,No,"Emotional Disorders,Mental Retardation",Full Permit,
Kathy McGee,No,-,No,HIDALGO,,kmcgee@buckner.org,1143738,,-,-,"3780 N BENTSEN PALM DR MISSION, TX 78574","3780 N BENTSEN PALM DR MISSION, TX 78574",0,0,0,0,0,0,6,1,1,667,-,7,Buckner Baptist Childrens Home,232671-322-3,Child Placing Agency  (Branch),,956-585-4847,,No,,,www.buckner.org
Debbie Sceroler,No,No,No,GREGG,Monday - Friday,dsceroler@buckner.org,165741,08:30 AM-05:00 PM,6/27/2001,-,"110 E COTTON ST LONGVIEW, TX 75601","110 E COTTON ST LONGVIEW, TX 75601",0,1,0,2,1,2,13,6,3,2190,0,40,Buckner Children & Family Services Inc,549600-511,Child Placing Agency-Adoption Services,,903-757-9383,"Child Care,Transitional Living",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.beafamily.org
Samela Macon,No,-,No,ANGELINA,,wmcmillan@buckner.org,213092,,-,-,"3402 DANIEL MCCALL DR FRNT OFFICE LUFKIN, TX 75904","3402 DANIEL MCCALL DR FRNT OFFICE LUFKIN, TX 75904",0,0,0,0,0,0,5,3,1,2853,-,14,Buckner Children and Family Services,209976-260-1,Child Placing Agency  (Branch),,936-637-3300,,No,,,www.beafamily.org
Sarah Denise Hataway,No,No,No,MIDLAND,,krobinson@buckner.org,828289,-,4/30/2012,-,"425 W PECAN AVE MIDLAND, TX 79705","425 W PECAN AVE MIDLAND, TX 79705",0,3,0,1,0,1,13,10,0,1947,0,28,"Buckner Children and Family Services, Inc.",1283626-7311,Child Placing Agency-Adoption Services,,432-520-5588,Child Care,No,Emotional Disorders,Full Permit,www.buckner.org
Samela Macon,No,-,No,MONTGOMERY,,smacon@buckner.org,1109081,,-,-,"407 AVENUE F CONROE, TX 77301","407 AVENUE F CONROE, TX 77301",0,0,0,0,0,0,7,1,0,4785,-,13,Buckner Children Village &Family,209976-260-4,Child Placing Agency  (Branch),,936-756-3639,,No,,,www.beafamily.org
Samela Macon,No,No,No,JEFFERSON,Monday - Friday,smacon@buckner.org,101277,06:00 AM-06:00 PM,8/8/1985,-,"9055 MANION DR BEAUMONT, TX 77706","9055 MANION DR BEAUMONT, TX 77706",1,4,0,0,6,0,26,13,8,2350,2,27,Buckner Children Village &Family,209976-260,Child Placing Agency-Adoption Services,,409-866-0976,"Child Care,Transitional Living",No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Full Permit,www.beafamily.org
Charlotte B Thomason,No,No,No,TRAVIS,Monday - Friday,,275037,09:00 AM-04:30 PM,7/20/2006,-,"1524 S I 35 STE 218 AUSTIN, TX 78704","1524 S I 35 STE 218 AUSTIN, TX 78704",0,3,0,0,3,0,1,2,0,19,0,0,Camelot Community Care Inc,850516-2850,Child Placing Agency-Adoption Services,,512-444-0900,"Child Care,Respite Child Care",No,Emotional Disorders,Full Permit,
Tashika Rasheeda Smith,No,No,No,TARRANT,"Tues, Thurs",caregivers.ytls@yahoo.com,1166493,10:00 AM-04:30 PM,11/21/2014,-,"1506 W PIONEER PKWY STE 216 ARLINGTON, TX 76013","1506 W PIONEER PKWY STE 216 ARLINGTON, TX 76013",0,0,0,0,0,0,3,0,0,3673,0,3,Caregivers Youth and Transitional Living Services,1556161-10231,Child Placing Agency,,817-801-8844,"Child Care,Assessment,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Initial,
Patricia Bridges,No,No,No,HARRIS,Monday - Friday,info@caringadoptions.org,110746,09:00 AM-04:30 PM,1/19/1994,-,"11601 KATY FWY STE 222 HOUSTON, TX 77079","11601 KATY FWY STE 222 HOUSTON, TX 77079",0,0,0,1,1,0,3,0,0,1659,0,3,Caring Adoptions,254529-45,Child Placing Agency-Adoption Services,"On Fridays, they leave at noon.",281-920-4300,Child Care,No,,Full Permit,www.caringadoptions.org
Heather Leach,No,No,No,COMANCHE,Tues,bhagood@caringheartsforchildren.org,777769,12:00 AM-12:00 AM,12/9/2011,-,"7680 HWY 377 COMANCHE, TX 76442","PO BOX 688 COMANCHE, TX 76442",3,8,1,2,2,3,23,17,0,2043,0,20,Caring Hearts For Children,1242666-7091,Child Placing Agency,,325-356-3471,"Child Care,Assessment,Transitional Living",No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Full Permit,www.caringheartsforchildren.org
Kathleen Foster,No,No,No,HARRIS,Monday - Friday,kfoster@casahope.org,100701,09:00 AM-05:00 PM,8/28/1987,-,"2911A CORDER ST HOUSTON, TX 77054","PO BOX 66581 HOUSTON, TX 77266",0,0,0,0,0,0,7,0,1,3758,0,11,Casa De Esperanza De Los Ninos,203830-255,Child Placing Agency-Adoption Services,,713-529-0639,Child Care,No,,Full Permit,www.casahope.org
Raj D. Kendrick,No,No,No,HARRIS,Monday - Friday,rkendrick@catholiccharities.org,94089,08:00 AM-05:00 PM,12/21/1985,-,"2900 LOUISIANA ST HOUSTON, TX 77006","2900 LOUISIANA ST HOUSTON, TX 77006",3,15,1,5,10,0,59,20,17,2256,0,39,Catholic Charities Of The Archdiocese Of Galveston -Houston,31-31,Child Placing Agency-Adoption Services,ALTERNATIVE CONTACTS(EMERGENCY AND NON-EMERGENCY)See(3)contacts below: Administrator- Raj Kendrick cell: 815-535-7527 (Office) 713-874-6530 Debbie Alvarez-Sandberg -Director of the Unaccompanied Minors Program (URM) (713)874-6505(Office) (713)884-9719 (Cell) Michelle Castro Admin Asst. (713)874-6596,713-526-4611,"Child Care,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,
Delton Ray McGuire,No,No,No,SAN SABA,,chc@centex.net,256061,-,8/8/2005,-,"State Hwy 16N P O Box 295 Cherokee, TX 76832","PO Box 295 13355 S Hwy 16 Cherokee, TX 76832",0,0,0,0,0,0,3,0,0,2669,0,0,Cherokee Home For Children,841697-2169,Child Placing Agency-Adoption Services,after hours contact #'s Delton McGuire chcss@centex.net (Administrator) 325-372-8872 Cynthia Suggs Admin Asst chcsa@centex.net Tommy Morrison (Campus Director)325-372-8871;,325-622-4201,Child Care,Yes,,Full Permit,www.chc4kids.com
Jennifer Ann Hodges,No,Yes,No,DALLAS,Monday - Friday,,94109,09:00 AM-05:00 PM,12/3/1985,-,"9461 LBJ FWY STE 110 DALLAS, TX 75243","9461 LBJ FWY STE 110 DALLAS, TX 75243",0,4,0,3,0,1,9,2,0,4317,0,1,Children and Adoption Services,423-20,Child Placing Agency-Adoption Services,,214-526-2772,Child Care,No,,Full Permit,
Lorna Smith,No,No,Yes,HARRIS,Monday - Friday,,826389,09:00 AM-04:00 PM,2/28/2012,-,"13700 VETERANS MEMORIAL DR STE 100 HOUSTON, TX 77014","13700 VETERANS MEMORIAL DR STE 100 HOUSTON, TX 77014",4,16,6,20,15,9,71,29,7,8437,0,36,Children of Diversity,1282326-7291,Child Placing Agency-Adoption Services,Admin: Lorna Smith can be reached at 713-689-8480.,281-866-0851,"Child Care,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.children-of-diversity.org
Angela L. Nowell,No,No,No,LUBBOCK,Monday - Friday,rivera@childrenhp.org,1092364,08:30 AM-05:30 PM,3/26/2013,-,"4601 50TH ST STE 113 LUBBOCK, TX 79414","4601 50TH ST STE 113 LUBBOCK, TX 79414",0,0,0,0,0,0,4,0,0,2937,5,8,"Children's Hope Residential Services, Inc. - CPA",1498650-8291,Child Placing Agency-Adoption Services,,806-897-9735,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.childrenhp.org
Angela L. Nowell,No,-,No,HUNT,,,1149778,,-,-,"111 TAYLOR PLAZA DR GREENVILLE, TX 75402","111 TAYLOR PLAZA DR GREENVILLE, TX 75402",0,0,0,0,0,0,2,0,0,2764,-,10,"Children's Hope Residential Services, Inc. - CPA",1498650-8291-3,Child Placing Agency  (Branch),,903-454-2627,,No,,,childrenhp.org
Angela L. Nowell,No,-,No,TOM GREEN,,,1137262,,-,-,"1807 S BRYANT BLVD SAN ANGELO, TX 76903","1807 S BRYANT BLVD SAN ANGELO, TX 76903",0,0,0,0,0,0,4,0,0,6347,-,5,"Children's Hope Residential Services, Inc. - CPA",1498650-8291-2,Child Placing Agency  (Branch),,325-227-4855,,No,,,childrenhp.org
Angela L. Nowell,No,-,No,BROWN,,nowell@childrenhp.org,1174579,,-,-,"901 AVENUE B BROWNWOOD, TX 76801","901 AVENUE B BROWNWOOD, TX 76801",0,0,0,0,0,0,0,0,0,0,-,0,"Children's Hope Residential Services, Inc. - CPA",1498650-8291-6,Child Placing Agency  (Branch),,806-535-3268,,No,,,
Angela L. Nowell,No,-,No,CAMERON,,nowell@childrenhp.org,1169062,,-,-,"302 LORENALY DR STE F BROWNSVILLE, TX 78526","302 LORENALY DR STE F BROWNSVILLE, TX 78526",0,0,0,0,0,0,0,0,0,0,-,5,"Children's Hope Residential Services, Inc. - CPA",1498650-8291-5,Child Placing Agency  (Branch),,956-455-6077,,No,,,
Angela L. Nowell,No,-,No,EL PASO,,prieto@childrenhp.org,1113880,,-,-,"1155 WESTMORELAND DR STE 215 EL PASO, TX 79925","1155 WESTMORELAND DR STE 215 EL PASO, TX 79925",0,1,0,1,0,0,7,1,1,1836,-,8,"Children's Hope Residential Services, Inc. - CPA",1498650-8291-1,Child Placing Agency  (Branch),,915-881-1980,,No,,,childrenhp.org
Leslie Pastrano,No,No,No,BEXAR,Monday - Friday,lpastrano@chshel.org,273495,08:00 AM-05:00 PM,6/1/2005,-,"2939 W WOODLAWN AVE SAN ANTONIO, TX 78228","2939 W WOODLAWN AVE SAN ANTONIO, TX 78228",0,23,1,13,14,2,67,40,19,2665,0,103,Childrens Shelter,849789-40,Child Placing Agency-Adoption Services,,210-212-2500,"Child Care,Assessment,Respite Child Care",No,Emotional Disorders,Full Permit,www.childrensshelter.org
Robert Parkhill,No,-,No,TARRANT,,attention@christianhomes.com,758192,,-,-,"5750 RUFE SNOW DR STE 149 NORTH RICHLAND HILLS, TX 76180","5750 RUFE SNOW DR STE 149 NORTH RICHLAND HILLS, TX 76180",0,0,0,0,0,0,5,0,0,3572,-,0,Christian Homes and Family Services,6628-122-3,Child Placing Agency  (Branch),,817-428-1441,,No,,,www.christianhomes.com
Robert Parkhill,No,No,No,TAYLOR,Monday - Friday,attention@christianhomes.com,94180,08:00 AM-05:00 PM,9/4/1985,-,"1202 ESTATES DR ABILENE, TX 79602","PO BOX 270 ABILENE, TX 79604",0,2,1,0,1,0,3,1,0,2292,2,11,Christian Homes of Abilene,6628-122,Child Placing Agency-Adoption Services,,325-677-2205,Child Care,No,,Full Permit,
Robert Parkhill,No,-,No,SMITH,,attention@christianhomes.com,95794,,-,-,"5476 HOLLYTREE DR TYLER, TX 75703","13359 HWY 155 S TYLER, TX 75703",0,1,1,1,1,2,4,0,0,3480,-,10,Christian Homes Tyler,6628-122-2,Child Placing Agency  (Branch),,903-509-0558,,No,,,www.christianhomes.com
Derek James Kester,No,No,No,TARRANT,Monday - Friday,administration@christshaven.org,94083,06:00 AM-06:00 PM,4/17/1987,-,"4200 KELLER HASLET RD FORT WORTH, TX 76244","PO BOX 467 KELLER, TX 76244",1,2,0,1,0,0,4,0,0,3435,0,4,Christs Haven For Children,17-17,Child Placing Agency,,817-431-1544,"Child Care,Respite Child Care",No,,Full Permit,www.christshaven.org
Cynthia Ruth Pate,No,-,No,ELLIS,,,1132157,,-,-,"104 SIERRA GRANDE ST RED OAK, TX 75154","104 SIERRA GRANDE ST RED OAK, TX 75154",0,5,0,3,2,1,25,10,2,2031,-,18,Circle of Living Hope,1510001-8611-1,Child Placing Agency  (Branch),,972-824-3073,,No,,,www.colh.org
Cynthia Ruth Pate,No,-,No,CAMERON,,,1162306,,-,-,"2685 N CORIA ST STE C6 BROWNSVILLE, TX 78520","2685 N CORIA ST STE A6 BROWNSVILLE, TX 78520",0,0,0,0,0,0,0,0,0,0,-,4,Circle of Living Hope,1510001-8611-2,Child Placing Agency  (Branch),,956-404-5092,,No,,,www.colh.org
Cynthia Ruth Pate,No,No,No,HAYS,"Mon, Tues, Wed",,1105769,10:00 AM-05:00 PM,4/18/2014,-,"1216 ESTIVAL DR KYLE, TX 78640","1216 ESTIVAL DR KYLE, TX 78640",0,3,0,5,4,0,24,7,3,5927,2,11,Circle of Living Hope,1510001-8611,Child Placing Agency-Adoption Services,,512-216-9615,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation",Full Permit,www.colh.org
Michael Esquivel,No,No,No,NUECES,Monday - Friday,,163171,06:00 AM-06:00 PM,2/25/2001,-,"5333 EVERHART RD STE 150B CORPUS CHRISTI, TX 78411","5333 EVERHART RD STE 150B CORPUS CHRISTI, TX 78411",0,15,0,8,9,1,95,46,5,3579,6,60,Circles of Care,546152-513,Child Placing Agency-Adoption Services,,361-852-3812,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,
Michael Esquivel,No,-,No,DALLAS,,,1098554,,-,-,"9535 FOREST LN STE 101A DALLAS, TX 75243","9535 FOREST LN STE 101A DALLAS, TX 75243",0,2,1,0,4,1,8,2,0,7927,-,11,Circles of Care,546152-513-4,Child Placing Agency  (Branch),,214-242-9290,,No,,,www.circlesofcareinc.org
Michael Esquivel,No,-,No,BELL,,,238561,,-,-,"805 N MAIN ST STE B SALADO, TX 76571","PO BOX 558 SALADO, TX 76571",0,4,0,4,5,1,34,21,6,2406,-,41,Circles of Care,546152-513-1,Child Placing Agency  (Branch),,254-947-0030,,No,,,www.circlesofcareinc.org
Michael Esquivel,No,-,No,HIDALGO,,,261138,,-,-,"612 W NOLANA AVE STE 510 MCALLEN, TX 78504","612 W NOLANA AVE STE 510 MCALLEN, TX 78504",0,4,0,0,4,1,20,7,3,2408,-,13,Circles of Care,546152-513-3,Child Placing Agency  (Branch),,956-688-6948,,No,,,www.circlesofcareinc.org
Michael Esquivel,No,-,No,HARRIS,,,256299,,-,-,"340 N SAM HOUSTON PKWY E STE 150 HOUSTON, TX 77060","340 N SAM HOUSTON PKWY E STE 150 HOUSTON, TX 77060",0,11,3,9,23,4,50,27,3,5250,-,34,Circles of Care,546152-513-2,Child Placing Agency  (Branch),,281-260-6814,,No,,,
Michael Esquivel,No,-,No,NUECES,,,1173994,,-,-,"5333 EVERHART RD STE 200B CORPUS CHRISTI, TX 78411","5333 EVERHART RD STE 200B CORPUS CHRISTI, TX 78411",0,0,0,0,0,0,0,0,0,0,-,0,Circles of Care,546152-513-6,Child Placing Agency  (Branch),,361-852-3812,,No,,,
Michael Esquivel,No,-,No,WEBB,,,1173760,,-,-,"709 ALTA VISTA DR STE 103 LAREDO, TX 78041","709 ALTA VISTA DR STE 103 LAREDO, TX 78041",0,0,0,0,0,0,0,0,0,0,-,10,Circles of Care,546152-513-5,Child Placing Agency  (Branch),,956-724-5006,,No,,,
Kafanya Latoshia James-Strother,No,No,No,DALLAS,Monday - Friday,info@communitybasedalternatives.org,1163868,08:00 AM-05:00 PM,12/23/2014,-,"10945 ESTATE LN STE E105 DALLAS, TX 75238","10945 ESTATE LN STE E105 DALLAS, TX 75238",0,0,0,2,0,0,1,0,0,2339,0,0,Community Based Alternatives,1554007-10111,Child Placing Agency-Adoption Services,,214-791-3600,"Child Care,Assessment,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Initial,www.communitybasedalternatives.org
Karen Lund,No,-,No,COLLIN,,bill@covenantkids.org,295364,,-,-,"710 E PARK BLVD STE 100 PLANO, TX 75074","710 E PARK BLVD STE 100 PLANO, TX 75074",0,9,0,0,4,1,30,21,2,7757,-,144,"Covenant Kids, Inc.",811894-641-3,Child Placing Agency  (Branch),,972-424-9933,,No,,,www.covenantkids.org
Karen Lund,No,No,No,TARRANT,Monday - Friday,bill@covenantkids.org,195565,08:30 AM-05:00 PM,11/18/2002,-,"320 WESTWAY PL STE 530 ARLINGTON, TX 76018","PO BOX 173038 ARLINGTON, TX 76003",3,17,0,4,7,1,54,37,4,6486,2,138,"Covenant Kids, Inc.",811894-641,Child Placing Agency-Adoption Services,The office will close at 4:00 pm on Fridays.,817-516-9100,"Child Care,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.covenantkids.org
Karen Lund,No,-,No,DALLAS,,bill@covenantkids.org,1119984,,-,-,"2550 BECKLEYMEADE AVE STE 100 DALLAS, TX 75237","2550 BECKLEYMEADE AVE STE 100 DALLAS, TX 75237",1,1,0,1,0,0,14,7,0,5959,-,45,"Covenant Kids, Inc.",811894-641-5,Child Placing Agency  (Branch),,214-888-4829,,No,,,www.covenantkids.org
Cynthia Joyce Neely,No,No,No,DALLAS,Monday - Friday,TFC@metrocareservices.org,111959,08:00 AM-05:00 PM,7/14/1999,-,"1353 N WESTMORELAND RD BLDG A DALLAS, TX 75211","1353 N WESTMORELAND RD BLDG A DALLAS, TX 75211",0,18,0,11,20,3,74,50,7,5336,0,40,Dallas Metrocare Services,256357-19,Child Placing Agency,,214-333-7015,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Full Permit,www.metrocareservices.org
Renee Price,No,No,No,TRAVIS,Monday - Friday,rprice@depelchin.org,969989,08:00 AM-05:00 PM,1/27/2012,-,"1812 CENTRE CREEK DR STE 210 AUSTIN, TX 78754","1812 CENTRE CREEK DR STE 210 AUSTIN, TX 78754",0,0,0,0,0,0,3,0,0,1820,4,0,DBA Caring Family Network,1400486-7811,Child Placing Agency-Adoption Services,,512-719-3222,"Child Care,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.cfntexas.com
Renee Price,No,-,No,LUBBOCK,,emartinez@depelchin.org,970050,,-,-,"2706 82ND ST LUBBOCK, TX 79423","2706 82ND ST LUBBOCK, TX 79423",0,8,3,3,3,0,27,14,2,3625,-,30,DBA Caring Family Network,1400486-7811-5,Child Placing Agency  (Branch),,806-745-3222,,No,,,www.cfntexas.com
Renee Price,No,-,No,BROWN,,,970044,,-,-,"114 EARLY BLVD EARLY, TX 76802","1 CENTER AVE STE 200 BROWNWOOD, TX 76801",3,25,0,5,14,4,42,22,5,4315,-,34,DBA Caring Family Network,1400486-7811-4,Child Placing Agency  (Branch),,325-646-3222,,No,,,www.cfntexas.com
Renee Price,No,-,No,BEXAR,,lrichards@depelchin.org,970040,,-,-,"4204 GARDENDALE ST STE 301 SAN ANTONIO, TX 78229","4204 GARDENDALE ST STE 301 SAN ANTONIO, TX 78229",0,6,1,7,6,2,29,14,6,3513,-,42,DBA Caring Family Network,1400486-7811-3,Child Placing Agency  (Branch),,210-691-3222,,No,,,www.cfntexas.com
Renee Price,No,-,No,TRAVIS,,pgrose@depelchin.org,970037,,-,-,"1812 CENTRE CREEK DR STE 200 AUSTIN, TX 78754","1812 CENTRE CREEK DR STE 200 AUSTIN, TX 78754",2,5,0,0,0,0,23,10,9,1844,-,46,DBA Caring Family Network,1400486-7811-2,Child Placing Agency  (Branch),,512-719-3222,,No,,,www.cfntexas.com
Dejuana Jernigan,No,-,No,MONTGOMERY,,info@depelchin.org,314519,,-,-,"1600 LAKE FRONT CIR STE 204 THE WOODLANDS, TX 77380","4950 MEMORIAL DR HOUSTON, TX 77007",2,12,0,12,18,4,46,18,9,5689,-,59,Depelchin Children's Center,254653-35-4,Child Placing Agency  (Branch),,281-367-7707,,No,,,www.depelchin.org
Dejuana Jernigan,No,-,No,FORT BEND,,info@depelchin.org,305037,,-,-,"10435 GREENBOUGH DR STE 101 STAFFORD, TX 77477","10435 GREENBOUGH DR STE 101 STAFFORD, TX 77477",2,13,4,5,10,2,51,20,9,5853,-,44,DePelchin Children's Center,254653-35-3,Child Placing Agency  (Branch),,281-207-2377,,No,,,www.depelchin.org
Dejuana Jernigan,No,No,No,HARRIS,Monday - Friday,info@depelchin.org,110805,08:00 AM-05:00 PM,2/3/1995,-,"4950 MEMORIAL DR HOUSTON, TX 77007","4950 MEMORIAL DR HOUSTON, TX 77007",0,22,2,6,22,2,76,35,12,6244,2,77,Depelchin Children's Center,254653-35,Child Placing Agency-Adoption Services,,713-861-8136,"Child Care,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,www.depelchin.org
Fred Williams,No,-,No,GALVESTON,,bshutter@devereux.org,1120855,,-,-,"1150 DEVEREUX DR LEAGUE CITY, TX 77573","1150 DEVEREUX DR LEAGUE CITY, TX 77573",0,3,1,1,5,3,21,10,2,3828,-,14,Devereux Texas Treatment Network,816360-885-1,Child Placing Agency  (Branch),,281-335-1000,,No,,,
Fred Williams,No,No,No,VICTORIA,,bshutter@devereux.org,204261,-,3/25/2004,-,"120 DAVID WADE DR VICTORIA, TX 77905","PO BOX 2666 VICTORIA, TX 77902",0,4,0,1,7,0,11,5,2,2444,1,21,Devereux Texas Treatment Network,816360-885,Child Placing Agency,,361-575-8271,"Child Care,Respite Child Care",No,Emotional Disorders,Full Permit,
Monte A Cuba,No,No,No,HARRIS,Monday - Friday,Divinehandscs@yahoo.com,1135471,09:00 AM-05:00 PM,10/16/2014,-,"4131 MINERAL HAVEN DR HOUSTON, TX 77048","4131 MINERAL HAVEN DR HOUSTON, TX 77048",0,0,0,0,0,0,1,0,0,2309,0,0,Divine Hands Children Services Inc,1533188-9571,Child Placing Agency-Adoption Services,,832-831-1339,Child Care,No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Renewed Initial,
Stephanie Trulson,No,No,No,KERR,Monday - Friday,rrose@divinityfamilyservices.com,526889,09:00 AM-05:00 PM,10/5/2010,-,"819 WATER ST STE 109 KERRVILLE, TX 78028","PO BOX 290067 KERRVILLE, TX 78029",0,13,0,15,8,6,46,25,7,2815,0,91,Divinity Family Services,1037686-6271,Child Placing Agency-Adoption Services,,830-890-5838,"Child Care,Respite Child Care",No,"Emotional Disorders,Primary Medical Needs",Full Permit,www.divinityfamilyservices.com
Julia Taylor,No,No,No,TARRANT,Wed,,1144028,10:00 AM-03:00 PM,12/29/2014,-,"1601 E LAMAR BLVD STE 108 ARLINGTON, TX 76011","100 STARCREST DR CLEARWATER, FL 33765",0,3,1,17,6,8,5,0,0,2867,0,1,"Eckerd Youth Alternatives, Inc. d/b/a Eckerd",1538985-9831,Child Placing Agency-Adoption Services,,214-941-4435,Child Care,No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Renewed Initial,www.eckerd.org
Veronica Lee Lowenberg,No,No,No,EL PASO,Monday - Friday,srioux@epccinc.org,107564,08:30 AM-05:30 PM,1/10/1990,-,"2200 N STEVENS ST EL PASO, TX 79930","2200 N STEVENS ST EL PASO, TX 79930",4,7,2,2,5,1,50,15,7,8163,0,15,El Paso Center for Children,246422-348,Child Placing Agency,,915-565-5021,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,
Darcy Gayle Barron,No,No,No,BEXAR,Monday - Friday,dbarron@youthville.org,1150296,08:00 AM-05:00 PM,1/29/2015,-,"4114 SW LOOP 410 SAN ANTONIO, TX 78227","4505 E 47TH ST S WICHITA, KS 67210",0,0,0,0,0,0,4,0,0,2314,0,0,"EmberHope, Inc. DBA: Youthville Texas",1543191-9911,Child Placing Agency-Adoption Services,,210-441-0625,"Child Care,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Pervasive Development Disorder",Renewed Initial,www.youthville.org
