Operation #,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency
"813012","Grace Manor Incorporated","325 TENAHA ST ","CENTER","TX","75935","SHELBY",936-598-3611,"Child Placing Agency","Full Permit",9/12/2003,-,"drdan@gracemanor.us","197970",""
"520902","Great Wall China Adoption, DBA Children of All Nations","248 ADDIE ROY RD STE A102","AUSTIN","TX","78746","TRAVIS",512-323-9595,"Child Placing Agency","Full Permit",10/25/1996,-,"leighanne@gwca.org","145249",""
"1531107","Greater Southwest Child Placing Agency","3017 MEDLIN DR STE A","ARLINGTON","TX","76015","TARRANT",817-468-3043,"Child Placing Agency","Initial",1/30/2014,-,"greatersouthwest@att.net","1132557",""
"1049987","Guardian Family Services,  Inc.","2305 OAK LN STE 209","GRAND PRAIRIE","TX","75051","DALLAS",972-264-6551,"Child Placing Agency","Full Permit",9/17/2010,-,"info@guardianfamilyservices.org","541569",""
"1532965","Hands of Healing","2609 MARKET ST ","BAYTOWN","TX","77520","HARRIS",281-424-2200,"Child Placing Agency","Renewed Initial",9/28/2014,-,"info@handsofhealing.org","1135100",""
"836348","Harmony Family Services INC Child Placing Agency","305 GRAPE ST ","ABILENE","TX","79601","TAYLOR",325-672-7200,"Child Placing Agency","Full Permit",2/17/2004,-,"breedhfs@camalott.com","244203",""
"870277","Have Haven Child Placing Agency","9900 WESTPARK DR STE 240","HOUSTON","TX","77063","HARRIS",832-667-8851,"Child Placing Agency","Full Permit",2/21/2007,-,"intake@havehaven.org","312384",""
"1036566","Heart of the Kids Social Services Incorporation","8303 SOUTHWEST FWY STE 345","HOUSTON","TX","77074","HARRIS",713-864-5650,"Child Placing Agency","Full Permit",9/27/2010,-,"","525491",""
"255115","Helping Hand Home for Children","3804 AVENUE B ","AUSTIN","TX","78751","TRAVIS",512-459-3353,"Child Placing Agency","Full Permit",12/16/1991,-,"","111048",""
"251047","High Sky Children's Ranch","8701 W C R 60 # A","MIDLAND","TX","79707","MIDLAND",432-694-7728,"Child Placing Agency","Full Permit",4/12/1991,-,"highsky@highsky.org","109299",""
"1537082","Hill Country Youth Ranch","3522 JUNCTION HWY ","INGRAM","TX","78025","KERR",830-367-2131,"Child Placing Agency","Renewed Initial",12/3/2014,-,"","1141306",""
"835683","Homes With Hope","1035 E 11TH ST ","HOUSTON","TX","77009","HARRIS",713-864-1885,"Child Placing Agency","Full Permit",2/23/2005,-,"ruby@homeswithhope.org","242612",""
"42","Hope Cottage, Inc.","2705 SWISS AVE ","DALLAS","TX","75204","DALLAS",214-526-8721,"Child Placing Agency","Full Permit",5/28/1987,-,"adoption@hopecottage.org","94091",""
"530113-441-12","Hope for Tomorrow","1309 N STUART PLACE RD STE B","HARLINGEN","TX","78552","CAMERON",956-230-1961,"Child Placing Agency (Branch)","Branch",-,-,"","1107923",""
"530113-441-11","Hope for Tomorrow","4241 SOUTHWEST BLVD STE 101","SAN ANGELO","TX","76904","TOM GREEN",325-949-4671,"Child Placing Agency (Branch)","Branch",-,-,"","979848",""
"530113-441-10","Hope for Tomorrow","2441 E HIGHWAY 377 STE 107","GRANBURY","TX","76049","HOOD",817-573-2050,"Child Placing Agency (Branch)","Branch",-,-,"","934001",""
"530113-441-8","Hope For Tomorrow","1330 AQUARENA SPRINGS DR STE 107","SAN MARCOS","TX","78666","HAYS",512-392-7511,"Child Placing Agency (Branch)","Branch",-,-,"","562908",""
"530113-441-6","Hope For Tomorrow","3012 SW 26TH AVE STE 800","AMARILLO","TX","79109","POTTER",806-331-5439,"Child Placing Agency (Branch)","Branch",-,-,"","318180",""
"530113-441-5","Hope For Tomorrow","506 TOWN SQ ","COPPERAS COVE","TX","76522","CORYELL",254-518-7700,"Child Placing Agency (Branch)","Branch",-,-,"","316104",""
"530113","Hope For Tomorrow","1305 EARLY BLVD ","EARLY","TX","76802","BROWN",325-646-4673,"Child Placing Agency","Full Permit",2/17/1999,-,"","150654",""
"530113-441-4","Hope For Tomorrow","1309 EARLY BLVD ","EARLY","TX","76802","BROWN",325-646-4673,"Child Placing Agency (Branch)","Branch",-,-,"","316101",""
"247479","Houston Achievement Place","245 W 17TH ST ","HOUSTON","TX","77008","HARRIS",713-868-1943,"Child Placing Agency","Full Permit",5/14/1990,-,"kchance@hapkids.org","107893",""
"857739","International Educational Services Inc","4000 FM 511 ","BROWNSVILLE","TX","78526","CAMERON",956-831-3202,"Child Placing Agency","Full Permit",2/17/2006,-,"","290065",""
"857739-338-1","International Educational Services INC","3805 W BUSINESS 83 ","HARLINGEN","TX","78552","CAMERON",,"Child Placing Agency (Branch)","Branch",-,-,"","295736",""
"857739-338-4","International Educational Services Inc","1110 S AIRPORT DR ","WESLACO","TX","78596","HIDALGO",956-351-4900,"Child Placing Agency (Branch)","Branch",-,-,"","1151515",""
"857739-338-2","International Educational Services Inc","1885 E PRICE RD ","BROWNSVILLE","TX","78521","CAMERON",956-541-9933,"Child Placing Agency (Branch)","Branch",-,-,"","1112967",""
"857739-338-3","International Educational Services Inc","2032 N 77 SUNSHINESTRIP ","HARLINGEN","TX","78550","CAMERON",956-425-9200,"Child Placing Agency (Branch)","Branch",-,-,"","1151508",""
"1159846","International Foster Care","249 W THORNHILL DR ","FORT WORTH","TX","76115","TARRANT",817-534-0814,"Child Placing Agency","Full Permit",1/13/2011,-,"hmerritt@ccdofw.org","677910",""
"1509523","J. ELOHIM INC","1636 N HAMPTON RD STE 270","DESOTO","TX","75115","DALLAS",214-377-7626,"Child Placing Agency","Full Permit",2/21/2014,-,"info@jelohimfostercare.com","1105182",""
"533140","Jameson Center","1301 REGENTS PARK DR STE 103","HOUSTON","TX","77058","HARRIS",281-282-1301,"Child Placing Agency","Full Permit",8/20/1998,-,"fostercare@thechildrenscenterinc.org","153033",""
"533140-502-2","Jameson Center-Pelican Island","602 SEAWOLF PKWY APT 133","GALVESTON","TX","77554","GALVESTON",409-572-2500,"Child Placing Agency (Branch)","Branch",-,-,"fostercare@thechildrenscenterinc.org","1174303",""
"861948","Jonathan's Place Foster Family Program","6065 DUCK CREEK DR ","GARLAND","TX","75043","DALLAS",972-303-1335,"Child Placing Agency","Full Permit",8/23/2007,-,"19general94@kidnet.org","297982",""
"861948-3751-1","Jonathan's Place Foster Family Program","4150 INTERNATIONAL PLZ STE 600","FORT WORTH","TX","76109","TARRANT",817-349-4323,"Child Placing Agency (Branch)","Branch",-,-,"19general94@kidnet.org","1169576",""
"516839","Kids at the Crossroads Inc","3505 LARCHMONT CV ","AUSTIN","TX","78704","TRAVIS",512-346-8315,"Child Placing Agency","Full Permit",2/26/1996,-,"diane_frei@yahoo.com","142167",""
"516839-169-2","Kids At The Crossroads Inc.","2451 C R 135 ","BROWNWOOD","TX","76801","BROWN",325-938-7366,"Child Placing Agency (Branch)","Branch",-,-,"","291753",""
"516839-169-1","Kids At The Crossroads-Houston","5870 HIGHWAY 6 N STE 309","HOUSTON","TX","77084","HARRIS",281-345-7358,"Child Placing Agency (Branch)","Branch",-,-,"daniel@kc-austin.org","162435",""
"1162646","Kids First, Inc.","4900 SE LOOP 820 STE 202","FORT WORTH","TX","76140","TARRANT",817-937-9431,"Child Placing Agency","Full Permit",6/13/2011,-,"cjohnson@kidsfirstinc.net","681610",""
"1544555","Kingdom Kids Child Placing Agency","9709 C F HAWN FWY STE P","DALLAS","TX","75217","DALLAS",469-347-3143,"Child Placing Agency","Renewed Initial",1/15/2015,-,"kingdomkcpa@gmail.com","1152067",""
"42316-497-4","LDS Family Services","3201 CHERRY RIDGE ST STE C320","SAN ANTONIO","TX","78230","BEXAR",210-541-1447,"Child Placing Agency (Branch)","Branch",-,-,"fam-tx-sanantonio@ldsfamilyservices.org","1056049",""
"42316-497-3","LDS Family Services","16333 HAFER RD ","HOUSTON","TX","77090","HARRIS",281-537-0211,"Child Placing Agency (Branch)","Branch",-,-,"","884154",""
"42316","LDS Family Services","1100 W JACKSON RD ","CARROLLTON","TX","75006","DALLAS",972-242-2182,"Child Placing Agency","Full Permit",12/20/1988,-,"fam-tx-carrollton@ldschurch.org","94753",""
"7614","Lee Beulah Moor Childrens Home","1100 E CLIFF DR ","EL PASO","TX","79902","EL PASO",915-544-8777,"Child Placing Agency","Full Permit",10/17/1985,-,"","94202",""
"861745","Lifeline Children & Family Services","5301 W HIGHWAY 31 ","CORSICANA","TX","75110","NAVARRO",903-872-7700,"Child Placing Agency","Full Permit",10/30/2006,-,"","297575",""
"861745-3730-3","Lifeline Children & Family Services","2500 E T C JESTER BLVD STE 200","HOUSTON","TX","77008","HARRIS",713-242-1907,"Child Placing Agency (Branch)","Branch",-,-,"","590148",""
"861745-3730-6","Lifeline Children & Family Services","1229 E PLEASANT RUN RD STE 212","DESOTO","TX","75115","DALLAS",817-200-7453,"Child Placing Agency (Branch)","Branch",-,-,"","1174031",""
"861745-3730-5","Lifeline Children and Family Services","2611 W MAIN ST ","GUN BARREL CITY","TX","75156","HENDERSON",903-215-8229,"Child Placing Agency (Branch)","Branch",-,-,"lifeline@lifelinecfs.org","1114686",""
"861745-3730-1","Lifeline Children and Family Services","7205 S COOPER ST STE 111","ARLINGTON","TX","76001","TARRANT",817-459-0033,"Child Placing Agency (Branch)","Branch",-,-,"lifeline@lifelinecfs.org","324259",""
"861745-3730-4","Lifeline Children and Family Services","10615 PERRIN BEITEL RD STE 207","SAN ANTONIO","TX","78217","BEXAR",210-853-5805,"Child Placing Agency (Branch)","Branch",-,-,"lifeline@lifelinecfs.org","977916",""
"517310","Lighthouse Family Network","213 MILL CREEK DR STE 170","SALADO","TX","76571","BELL",254-947-3152,"Child Placing Agency","Full Permit",2/26/1996,-,"","142532",""
"1555382","Lonestar Social Services, LLC","801 POINT RUN DR ","PFLUGERVILLE","TX","78660","TRAVIS",512-202-3686,"Child Placing Agency","Initial",12/30/2014,-,"info@lonestarsocialservices.com","1165463",""
"549601","Lonestar Solutions","1112 E COPELAND RD STE 310","ARLINGTON","TX","76011","TARRANT",817-265-2344,"Child Placing Agency","Full Permit",7/30/2001,-,"kathleenlively@rvbh.com","165742",""
"234998","Loving Alternative Adoption Agency","430 S VINE AVE ","TYLER","TX","75702","SMITH",903-533-1288,"Child Placing Agency","Full Permit",4/9/1988,-,"","104580",""
"1502895","Loving Houston Adoption Agency","5005 W 34TH ST STE 205A","HOUSTON","TX","77092","HARRIS",832-204-6010,"Child Placing Agency","Full Permit",6/19/2013,-,"office@lovinghouston.org","1097234",""
"25-25-26","Lutheran Social Services of the South","5600 NW CENTRAL DR STE 107","HOUSTON","TX","77092","HARRIS",281-298-8639,"Child Placing Agency (Branch)","Branch",-,-,"","680152",""
"25-25-20","Lutheran Social Services of the South - ORR","6585 MONTANA AVE STE R300","EL PASO","TX","79925","EL PASO",915-771-0281,"Child Placing Agency (Branch)","Branch",-,-,"","303961",""
"25-25-27","Lutheran Social Services of the South Inc.","4410 DILLON LN STE 5","CORPUS CHRISTI","TX","78415","NUECES",361-400-1200,"Child Placing Agency (Branch)","Branch",-,-,"","1135489",""
"25-25-4","Lutheran Social Services of the South, Inc.","120 S MAIN ST STE 413","VICTORIA","TX","77901","VICTORIA",361-574-8331,"Child Placing Agency (Branch)","Branch",-,-,"","169631",""
"25-25-24","Lutheran Social Services of the South, Inc.","2022 82ND ST STE 102","LUBBOCK","TX","79423","LUBBOCK",806-783-8863,"Child Placing Agency (Branch)","Branch",-,-,"","324621",""
"25-25-12","Lutheran Social Services of the South, Inc.","1800 SHILOH RD STE 301","TYLER","TX","75703","SMITH",903-939-3400,"Child Placing Agency (Branch)","Branch",-,-,"","167295",""
"25-25-8","Lutheran Social Services of the South, Inc.","5608 MALVEY AVE STE 100","FORT WORTH","TX","76107","TARRANT",817-731-3737,"Child Placing Agency (Branch)","Branch",-,-,"","167294",""
"25-25-6","Lutheran Social Services of the South, Inc.","1900 FIRMAN DR STE 100","RICHARDSON","TX","75081","DALLAS",972-620-0581,"Child Placing Agency (Branch)","Branch",-,-,"","108092",""
"25","Lutheran Social Services of the South, Inc.","8305 CROSS PARK DR ","AUSTIN","TX","78754","TRAVIS",512-454-4611,"Child Placing Agency","Full Permit",10/9/1985,-,"","94086",""
"25-25-23","Lutheran Social Services of the South, Inc.","1720 E HARRISON AVE STE C","HARLINGEN","TX","78550","CAMERON",956-423-1015,"Child Placing Agency (Branch)","Branch",-,-,"","320368",""
"25-25-1","Lutheran Social Services of the South, Inc.","2900 MOSSROCK STE 190","SAN ANTONIO","TX","78230","BEXAR",210-979-8473,"Child Placing Agency (Branch)","Branch",-,-,"","193659",""
"25-25-16","Lutheran Social Services of the South, Inc.","1800 S WASHINGTON ST STE 204","AMARILLO","TX","79102","POTTER",806-351-0168,"Child Placing Agency (Branch)","Branch",-,-,"","255440",""
"25-25-14","Lutheran Social Services of the South, Inc.","102 E CALTON RD STE 4","LAREDO","TX","78041","WEBB",956-791-4909,"Child Placing Agency (Branch)","Branch",-,-,"","212024",""
"25-25-10","Lutheran Social Services of the South, Inc.","4603 N JACKSON RD STE E","MCALLEN","TX","78504","HIDALGO",956-687-8333,"Child Placing Agency (Branch)","Branch",-,-,"","194442",""
"25-25-11","Lutheran Social Services of the South, Inc.","6585 MONTANA AVE STE S600A","EL PASO","TX","79925","EL PASO",915-598-5410,"Child Placing Agency (Branch)","Branch",-,-,"","195312",""
"25-25-13","Lutheran Social Services of the South, Inc.","4455 S PADRE ISLAND DR STE 50","CORPUS CHRISTI","TX","78411","NUECES",361-767-3182,"Child Placing Agency (Branch)","Branch",-,-,"","197701",""
"11-11-7.","Methodist  Childrens Home Services","5959 GATEWAY BLVD W STE 530","EL PASO","TX","79925","EL PASO",915-781-0005,"Child Placing Agency (Branch)","Branch",-,-,"mjaramillo@mch.org","311257",""
"11-11-2.","Methodist Children's Home","5005 MITCHELLDALE ST STE 119","HOUSTON","TX","77092","HARRIS",713-682-8911,"Child Placing Agency (Branch)","Branch",-,-,"","162057",""
"11-11-4.","Methodist Children's Home","8330 LBJ FWY STE B375","DALLAS","TX","75243","DALLAS",972-480-8772,"Child Placing Agency (Branch)","Branch",-,-,"dfwreferrals@mchforhope.org","162852",""
"11-11-5.","Methodist Children's Home","2737 S BROADWAY AVE STE 109","TYLER","TX","75701","SMITH",903-509-1171,"Child Placing Agency (Branch)","Branch",-,-,"lhickman@mchforhope.org","235837",""
"11-11-3.","Methodist Childrens Home","2028 82ND ST UNIT 101","LUBBOCK","TX","79423","LUBBOCK",806-792-0099,"Child Placing Agency (Branch)","Branch",-,-,"","162058",""
"11-11-1.","Methodist Childrens Home","6800 PARK TEN BLVD STE 135E","SAN ANTONIO","TX","78213","BEXAR",210-733-3904,"Child Placing Agency (Branch)","Branch",-,-,"twagner@mchforhope.org","161876",""
"11-11-9.","Methodist Childrens Home CPA","310 HARMONY HILL DR STE 200","LUFKIN","TX","75901","ANGELINA",936-632-9537,"Child Placing Agency (Branch)","Branch",-,-,"agrimmett@mchforhope.org","938248",""
"11-11-6.","Methodist Childrens Home CPA","3833 S STAPLES ST # N218","CORPUS CHRISTI","TX","78411","NUECES",361-334-2255,"Child Placing Agency (Branch)","Branch",-,-,"info@methodistchildrenshome.org","291248",""
"11-11-8.","Methodist Childrens Home CPA","500 CHESTNUT ST STE 1730","ABILENE","TX","79602","TAYLOR",325-672-9398,"Child Placing Agency (Branch)","Branch",-,-,"info@methodistchildrenshome.org","456868",""
"11","Methodist Childrens Home CPA","1111 HERRING AVE ","WACO","TX","76708","MCLENNAN",254-753-0181,"Child Placing Agency","Full Permit",11/6/1985,-,"twagner@mchforhope.org","94082",""
"250114-352-1","New Horizons Child Placing Agency","4722 TAFT BLVD STE 8","WICHITA FALLS","TX","76308","WICHITA",940-692-2300,"Child Placing Agency (Branch)","Branch",-,-,"","220999",""
"250114-352-2","New Horizons Child Placing Agency","417 WESLEY ST ","BROWNWOOD","TX","76801","BROWN",325-643-2264,"Child Placing Agency (Branch)","Branch",-,-,"","303507",""
"250114","New Horizons Child Placing Agency","147 SAYLES BLVD ","ABILENE","TX","79605","TAYLOR",325-437-1852,"Child Placing Agency","Full Permit",3/30/1990,-,"","108914",""
"250114-352-3","New Horizons Child Placing Agency","301 W BEAUREGARD AVE STE 201","SAN ANGELO","TX","76903","TOM GREEN",325-653-2247,"Child Placing Agency (Branch)","Branch",-,-,"","1110631",""
"175172","New Life Adoptions","19911 TOMBALL PKWY ","HOUSTON","TX","77070","HARRIS",281-955-1001,"Child Placing Agency","Full Permit",9/25/1987,-,"","98682",""
"1091989","Noble Children's Services","3200 TROUP HWY STE 145","TYLER","TX","75701","SMITH",903-617-6850,"Child Placing Agency","Full Permit",1/6/2011,-,"","591613",""
"854107","One Church One Child North/North Central Texas, Inc.","7140 LIBRARY LN ","DALLAS","TX","75232","DALLAS",214-672-9100,"Child Placing Agency","Full Permit",3/12/2007,-,"ococdfw@aol.com","282600",""
"543257-514-1","Open Arms Agency","4020 N 22ND ST ","MCALLEN","TX","78504","HIDALGO",956-334-3938,"Child Placing Agency (Branch)","Branch",-,-,"","1128754",""
"543257","Open Arms Agency","601 EVERHART RD ","CORPUS CHRISTI","TX","78411","NUECES",361-299-2639,"Child Placing Agency","Full Permit",5/29/2002,-,"kate@openarmsagency.org","160955",""
"1553281","Open Hearts Children and Family Services","1111 W MOCKINGBIRD LN # 730","DALLAS","TX","75247","DALLAS",469-730-3284,"Child Placing Agency","Initial",10/9/2014,-,"info@openheartscfs.org","1163043",""
"555945-517-2","Panhandle Child Placement SVCS","1808 ONYX CV ","WHITEHOUSE","TX","75791","SMITH",806-672-7938,"Child Placing Agency (Branch)","Branch",-,-,"dtmpcps@gmail.com","1168171",""
"555945","Panhandle Child Placement SVCS","112 W 8TH AVE STE 400","AMARILLO","TX","79101","POTTER",806-342-5550,"Child Placing Agency","Full Permit",3/29/2002,-,"","170807",""
"1079686","Passage of Youth Family Center","4024 ELM ST STE A","DALLAS","TX","75226","DALLAS",214-928-9292,"Child Placing Agency","Full Permit",12/10/2010,-,"","577069",""
"516564-196-9","Pathways Youth & Family Services, Inc.","14205 BURNET RD STE 100","AUSTIN","TX","78728","TRAVIS",512-275-1285,"Child Placing Agency (Branch)","Branch",-,-,"","253881",""
"516564-196-17","Pathways Youth and Family Services","6400 N 10TH ST STE D","MCALLEN","TX","78504","HIDALGO",956-205-1897,"Child Placing Agency (Branch)","Branch",-,-,"rgv17@pathway.org","1147385",""
"516564-196-6","Pathways Youth And Family Services","808 TOWER DR STE 4","ODESSA","TX","79761","ECTOR",432-699-7763,"Child Placing Agency (Branch)","Branch",-,-,"","201158",""
"516564","Pathways Youth and Family Services Inc","222 SIDNEY BAKER ST S STE 435","KERRVILLE","TX","78028","KERR",830-232-6590,"Child Placing Agency","Full Permit",7/12/1996,-,"intake@pathway.org","141951",""
"516564-196-13","Pathways Youth and Family Services Inc","4150 SOUTHWEST DR STE 216","ABILENE","TX","79606","TAYLOR",325-692-4048,"Child Placing Agency (Branch)","Branch",-,-,"infolink@pathway.org","327017",""
"516564-196-12","Pathways Youth and Family Services Inc","309 E 14TH ST ","DEL RIO","TX","78840","VAL VERDE",830-775-5358,"Child Placing Agency (Branch)","Branch",-,-,"infolink@pathway.org","311126",""
"516564-196-11","Pathways Youth and Family Services Inc","4243 E PIEDRAS DR ","SAN ANTONIO","TX","78228","BEXAR",210-733-7117,"Child Placing Agency (Branch)","Branch",-,-,"","261355",""
"516564-196-2","Pathways Youth and Family Services, Inc","2820 S PADRE ISLAND DR STE 170","CORPUS CHRISTI","TX","78415","NUECES",361-851-8682,"Child Placing Agency (Branch)","Branch",-,-,"","163806",""
"516564-196-16","Pathways Youth and Family Services, Inc.","1445 NORTH LOOP W STE 600","HOUSTON","TX","77008","HARRIS",832-726-0888,"Child Placing Agency (Branch)","Branch",-,-,"intake@pathway.org","973278",""
"516564-196-10","Pathways Youth And Family Services, Inc.","888 S GREENVILLE AVE STE 127","RICHARDSON","TX","75081","DALLAS",972-776-6684,"Child Placing Agency (Branch)","Branch",-,-,"","254426",""
"895089-5151-1","Perfection Children Services","1712 N FRAZIER ST STE 212","CONROE","TX","77301","MONTGOMERY",817-715-7052,"Child Placing Agency (Branch)","Branch",-,-,"","907937",""
"895089","Perfection Children Services","804 DALWORTH ST STE A","GRAND PRAIRIE","TX","75050","DALLAS",817-715-7052,"Child Placing Agency","Full Permit",5/4/2009,-,"","354171",""
"536598-503-6","Presbyterian Children's Home & Services","8627 N MOPAC EXPY STE 210","AUSTIN","TX","78759","TRAVIS",512-476-1234,"Child Placing Agency (Branch)","Branch",-,-,"info@pchas.org","569334",""
"536598-503-7","Presbyterian Children's Home & Services","300 BROOKSIDE RD BLDG R","WAXAHACHIE","TX","75167","ELLIS",972-923-3393,"Child Placing Agency (Branch)","Branch",-,-,"info@pchas.org","572948",""
"536598","Presbyterian Children's Homes & Services","4407 BEE CAVES RD STE 520","WEST LAKE HILLS","TX","78746","TRAVIS",512-476-1234,"Child Placing Agency","Full Permit",9/9/1999,-,"info@pchas.org","155690",""
"536598-503-1","Presbyterian Children's Homes & Services","4015 LAKE PARK DR ","WICHITA FALLS","TX","76302","WICHITA",940-720-0060,"Child Placing Agency (Branch)","Branch",-,-,"info@pchas.org","297978",""
"536598-503-3","Presbyterian Children's Homes and Services","7880 SAN FELIPE ST STE 111","HOUSTON","TX","77063","HARRIS",713-522-2800,"Child Placing Agency (Branch)","Branch",-,-,"info@pchas.org","568091",""
"894783","Pressley Ridge","6633 E HIGHWAY 290 STE 212","AUSTIN","TX","78723","TRAVIS",512-637-2040,"Child Placing Agency","Full Permit",6/10/2009,-,"","353712",""
"535329","Promise House Inc","224 W PAGE AVE ","DALLAS","TX","75208","DALLAS",214-941-8578,"Child Placing Agency","Full Permit",7/29/1999,-,"","154696",""
"1365219","Providence Kids","1524 S IH 35 STE 218","AUSTIN","TX","78704","TRAVIS",512-334-2360,"Child Placing Agency","Full Permit",9/14/2012,-,"","928903",""
"858453","Rainbow of Love Adoption Agency Inc","2700 LAKE OLYMPIA PKWY STE 1A","MISSOURI CITY","TX","77459","FORT BEND",281-438-6588,"Child Placing Agency","Full Permit",3/15/2006,-,"info@rolaa.org","291386",""
"859955","Refuge House","2340 E TRINITY MILLS RD STE 300","CARROLLTON","TX","75006","DALLAS",972-662-5112,"Child Placing Agency","Full Permit",4/28/2006,-,"info@refugehouse.org","294151",""
"891410","Refuge House San Antonio, Inc.","8000 W IH 10 STE 600","SAN ANTONIO","TX","78230","BEXAR",972-662-5112,"Child Placing Agency","Full Permit",9/9/2008,-,"info@refugehouse.org","348353",""
"1532671","RENAISSANCE FAMILY SERVICES OF TEXAS","1920 W VILLA MARIA RD STE 201","BRYAN","TX","77807","BRAZOS",832-687-7515,"Child Placing Agency","Renewed Initial",9/11/2014,-,"","1134664",""
"861018","Respite Care of San Antonio Inc","605 BELKNAP PL ","SAN ANTONIO","TX","78212","BEXAR",210-737-1212,"Child Placing Agency","Full Permit",5/21/2007,-,"ncarney@respitecaresa.org","296194",""
"858127","Safe Haven Community Services","7324 SOUTHWEST FWY STE 835","HOUSTON","TX","77074","HARRIS",713-988-7233,"Child Placing Agency","Full Permit",3/8/2006,-,"efields@safehavencommunityservices.org","290772",""
"1100206","San Antonio Simply Love All People Inc.","8165 LATIGO PLZ ","SAN ANTONIO","TX","78227","BEXAR",210-233-1758,"Child Placing Agency","Full Permit",2/17/2011,-,"","602029",""
"1115586","Sans Pareil Center for Children and Family Services","16003 PEBBLEGLEN DR ","HOUSTON","TX","77095","HARRIS",832-274-4143,"Child Placing Agency","Full Permit",4/13/2011,-,"","622429",""
"514774","Settlement Club Home CPA","1600 PAYTON GIN RD ","AUSTIN","TX","78758","TRAVIS",512-832-1252,"Child Placing Agency","Full Permit",12/6/1995,-,"","140682",""
"38215","Sherwood-Myrtie Foster Home FO","1779 N GRAHAM ST ","STEPHENVILLE","TX","76401","ERATH",254-968-2143,"Child Placing Agency","Full Permit",7/10/1986,-,"","94672",""
"22853","Smithlawn Maternity Home","711 76TH ST ","LUBBOCK","TX","79404","LUBBOCK",806-745-2574,"Child Placing Agency","Full Permit",11/20/1985,-,"smithlawnhome@att.net","94342",""
"861413","South Bay Bright Future,Inc.","511 LAKE RD STE 103","BELTON","TX","76513","BELL",254-933-8162,"Child Placing Agency","Full Permit",8/31/2007,-,"bhillsbbf@southbaybrightfuture.com","296889",""
"850266-332-1","Spaulding For Children","500 N WATER ST STE 604","CORPUS CHRISTI","TX","78401","NUECES",361-850-8200,"Child Placing Agency (Branch)","Branch",-,-,"","229288",""
"850266","Spaulding For Children","8582 KATY FWY STE 100","HOUSTON","TX","77024","HARRIS",713-681-6900,"Child Placing Agency","Full Permit",6/23/2005,-,"","274506",""
"895090","Special Delivery Infant Adoption Agency","1601 S MONROE ST ","AMARILLO","TX","79102","POTTER",806-367-6755,"Child Placing Agency","Full Permit",4/30/2008,-,"cindy@specialdeliveryadoptions.org","354175",""
"505936","Specialized Alternatives for Families","1200 E COPELAND RD STE 550","ARLINGTON","TX","76011","TARRANT",817-640-4650,"Child Placing Agency","Full Permit",5/1/2000,-,"higginbottomd@safy.org","134367",""
"844893","St Peter - St Joseph Childrens Home","919 MISSION RD ","SAN ANTONIO","TX","78210","BEXAR",210-533-1203,"Child Placing Agency","Full Permit",2/9/2006,-,"","262885",""
"1269866","St. Jude's Ranch for Children - Texas Region, Inc.","1400 RIDGE CREEK LN ","BULVERDE","TX","78163","COMAL",830-885-7494,"Child Placing Agency","Full Permit",3/2/2012,-,"troussett@stjudesranch.org","811169",""
"835949","Starry, Inc.","1300 N MAYS ST ","ROUND ROCK","TX","78664","WILLIAMSON",512-246-4288,"Child Placing Agency","Full Permit",3/16/2005,-,"richard.singleton@starryonline.org","243249",""
"1555534","Strawberry Creek Services","1060 W PIPELINE RD STE 100","HURST","TX","76053","TARRANT",817-616-3537,"Child Placing Agency","Initial",10/29/2014,-,"","1165670",""
"519246","Tejano Center for Community Concerns","5300 SUNRISE RD ","HOUSTON","TX","77021","HARRIS",713-644-2441,"Child Placing Agency","Full Permit",6/30/1997,-,"","143982",""
"197760-244-2","Texas Baptist Home for Children","3901 AIRPORT FWY STE 200","BEDFORD","TX","76021","TARRANT",817-355-1700,"Child Placing Agency (Branch)","Branch",-,-,"lallen@tbhc.org","567531",""
"197760","Texas Baptist Home For Children","629 FARLEY ST ","WAXAHACHIE","TX","75165","ELLIS",972-937-1321,"Child Placing Agency","Full Permit",3/23/1987,-,"lallen@tbhc.org","100268",""
"1529542","Texas Boys Ranch - CPA","4810 N COUNTY ROAD 2800 ","LUBBOCK","TX","79403","LUBBOCK",806-747-3187,"Child Placing Agency","Full Permit",12/3/2014,-,"","1130475",""
"66549","TEXAS DEPT OF FPS REG 01","1103 MARTIN LUTHER KING BLVD ","LUBBOCK","TX","79403","LUBBOCK",806-762-2680,"Child Placing Agency","Certified",9/6/1988,-,"camille.gilliam@dfps.state.tx.us","95728",""
"66367","TEXAS DEPT OF FPS REG 02","3610 VINE ST ","ABILENE","TX","79602","TAYLOR",915-691-8218,"Child Placing Agency","Certified",5/21/1986,-,"sherrel.mathews@dfps.state.tx.us","95705",""
"66405","TEXAS DEPT OF FPS REG 03","1200 E COPELAND RD ","ARLINGTON","TX","76011","TARRANT",817-792-5298,"Child Placing Agency","Certified",10/21/1988,-,"DFPSRegion03ChildPlacingAgency@dfps.state.tx","95711",""
"66129","TEXAS DEPT OF FPS REG 04","302 E RIECK RD ","TYLER","TX","75703","SMITH",903-509-5146,"Child Placing Agency","Certified",4/11/1988,-,"josephine.robinson@dfps.state.tx.us","95689",""
